#          BTJD             TJD             cts           e_cts             bkg       bkg_model            bkg2          e_bkg2
     1329.24079      1329.22978     -48826.7876        918.6569      -9627.9124      -3579.7433      -5153.8163       1393.3422
     1329.26163      1329.25061     -48819.9927        920.2805      -9263.6228      -3579.7433      -4055.8268       1391.2326
     1329.28246      1329.27144     -52843.9747        917.6284      -9111.7799      -3579.7433      -6274.8778       1386.8737
     1329.30329      1329.29228     -48544.7601        915.6979      -9017.1326      -3351.2389      -3896.0507       1384.6151
     1329.32413      1329.31311     -50138.8787        914.2157      -8259.6886      -3579.7433      -4321.5577       1380.4472
     1329.34496      1329.33394     -51423.5915        910.2378      -7904.1515      -3593.1147      -6374.3016       1376.0146
     1329.36579      1329.35478     -48300.3273        918.1685      -8877.1908      -3752.4429      -3101.2439       1382.9056
     1329.38663      1329.37561     -52961.5193        918.1189      -8418.1744      -3752.4429      -3084.8424       1383.4208
     1329.40746      1329.39644     -51437.5003        913.1592      -8804.7354      -3579.7433      -2184.5826       1376.7327
     1329.42829      1329.41728     -49808.5012        910.3374      -9301.0799      -3752.4429      -1109.8483       1372.6428
     1329.44913      1329.43811     -48912.1706        911.5020      -8148.0803      -3579.7433      -1286.5054       1374.8538
     1329.46996      1329.45894     -50469.9243        965.6349      -7844.9285      -3351.2389      -4980.4587       1427.3956
     1329.49079      1329.47978     -51548.1455        960.7832      -9770.9931      -3351.2389      -4323.4044       1422.7104
     1329.51163      1329.50061     -49346.4736        957.4044     -11079.2155      -3351.2389       -587.0198       1420.6386
     1329.53246      1329.52144     -52668.3234        958.7408      -9469.4280      -3752.4429      -5691.3037       1423.7224
     1329.55329      1329.54228     -53068.3632        965.0909      -9258.4549      -3896.0507      -2874.6492       1430.1591
     1329.57413      1329.56311     -50324.9909        971.9753     -11749.0643      -3896.0507      -3351.2389       1438.4594
     1329.59496      1329.58394     -45468.5335        970.5545     -12726.7664      -3901.2954      -2846.9717       1441.9020
     1329.61579      1329.60478     -47014.1763        975.4275     -12861.2350      -3896.0507      -6893.7110       1445.8834
     1329.63663      1329.62561     -57446.5202        985.1309     -10500.3916      -3896.0507      -6671.1290       1450.7554
     1329.65746      1329.64644     -53563.1523        994.2472     -12873.0794      -3575.0843      -6824.6051       1459.3838
     1329.67829      1329.66728     -52560.0489        992.4630     -10856.0911      -3896.0507      -4430.3918       1459.9986
     1329.69913      1329.68811     -47714.5941        996.9716     -12014.6420      -3896.0507      -2644.0677       1464.1510
     1329.71996      1329.70894     -52089.6379        999.1735     -12451.7910      -3896.0507      -2491.7802       1465.0997
     1329.74079      1329.72978     -48571.4628        996.5544     -11517.2135      -3896.0507      -1633.3343       1465.0139
     1329.76163      1329.75061     -51581.2437       1000.1652     -11902.4477      -3896.0507      -1514.7415       1466.9465
     1329.78246      1329.77144     -50572.3586       1007.4142     -11765.5909      -3833.9248      -2411.6126       1476.8288
     1329.80329      1329.79228     -53690.4794       1004.2057     -10943.7903      -3575.0843      -4783.6939       1474.2500
     1329.82413      1329.81311     -51592.1008       1002.6809     -11122.4517      -3575.0843      -7695.3095       1471.8817
     1329.84496      1329.83394     -51330.6965       1000.6107     -10767.4697      -3575.0843      -5335.2983       1467.1168
     1329.86579      1329.85478     -49562.6779        996.5162     -11079.6247      -3425.4709      -4559.1427       1462.8525
     1329.88663      1329.87561     -53983.1878        995.5770      -8980.4807      -3425.4709      -1468.2964       1458.9368
     1329.90746      1329.89644     -48204.5307        992.2543      -7233.3058      -3425.4709      -3948.1137       1456.4799
     1329.92829      1329.91728     -49262.3072        989.3099      -7358.1436      -3575.0843      -2149.3213       1446.7007
     1329.94913      1329.93811     -51714.3426        974.7608      -7283.2533      -3575.0843      -1940.2861       1436.5615
     1329.96996      1329.95894     -51168.8179        983.5767      -4634.0632      -3833.9248      -3284.4574       1441.2783
     1329.99079      1329.97978     -48296.8765        971.2952      -1929.4288      -3833.9248        665.0381       1426.1223
     1330.01163      1330.00061     -47088.1890        958.4460      -4736.9391      -3575.0843      -3901.2954       1417.1928
     1330.03246      1330.02144     -47899.4430        972.4018      -2674.3423      -3575.0843      -3964.0776       1425.5303
     1330.05329      1330.04228     -50339.3853        974.0495      -2365.7842      -3425.4709      -5750.7895       1427.0177
     1330.07413      1330.06311     -45629.1333        968.0259      -2359.5175      -3425.4709      -6043.6672       1420.2375
     1330.09496      1330.08394     -50576.7790        968.0606        362.1633      -3425.4709      -1353.1646       1422.8160
     1330.11579      1330.10478     -45866.4385        967.8589      -3647.5378      -3425.4709      -3425.4709       1422.6921
     1330.13663      1330.12561     -48763.4961        973.9651      -1615.7502      -3381.2424      -3575.0843       1427.0637
     1330.15746      1330.14644     -50243.9796        975.3661        -35.1369      -3284.4574      -4576.8346       1430.0180
     1330.17829      1330.16728     -47067.2481        959.6259      -1551.5488      -3271.6556      -3833.9248       1428.1913
     1330.19913      1330.18811     -41446.7017        966.9718          9.7389      -2959.2782        931.9915       1431.6587
     1330.21996      1330.20894     -49588.5710        964.6482       1205.6032      -2959.2782      -4628.1917       1432.0715
     1330.24079      1330.22978     -46824.9513        964.6043       1998.1251      -3271.6556      -6872.1144       1432.0355
     1330.26163      1330.25061     -43403.1133        968.8035       2301.2395      -3271.6556         96.7260       1433.7730
     1330.28246      1330.27144     -48240.4116        964.2135        828.5453      -3271.6556      -2073.8557       1428.3017
